空间: 0, 大小: 4, 偏移: 32'hD4418, 写入数据: 32'h3
空间: 0, 大小: 4, 偏移: 32'hD4204, 写入数据: 32'h2CC0000D
空间: 0, 大小: 4, 偏移: 32'hD41F4, 读取数据: 32'h0
空间: 0, 大小: 4, 偏移: 32'hD41F4, 写入数据: 32'hFFFF
空间: 0, 大小: 4, 偏移: 32'hD4200, 读取数据: 32'h8000000
空间: 0, 大小: 4, 偏移: 32'hD4204, 写入数据: 32'h0
空间: 0, 大小: 4, 偏移: 32'hD41F4, 读取数据: 32'hFFFF
空间: 0, 大小: 4, 偏移: 32'hD41F4, 写入数据: 32'h0
空间: 0, 大小: 4, 偏移: 32'hD4200, 读取数据: 32'h8000000
空间: 0, 大小: 4, 偏移: 32'hD4200, 写入数据: 32'h8000000
空间: 0, 大小: 4, 偏移: 32'hD441C, 读取数据: 32'h3
空间: 0, 大小: 4, 偏移: 32'hD4204, 读取数据: 32'h0
空间: 0, 大小: 4, 偏移: 32'hD4204, 写入数据: 32'h2CC0000D
空间: 0, 大小: 4, 偏移: 32'hD41F4, 读取数据: 32'h0
空间: 0, 大小: 4, 偏移: 32'hD41F4, 写入数据: 32'hFFFF
空间: 0, 大小: 4, 偏移: 32'hD4200, 读取数据: 32'h1
空间: 0, 大小: 4, 偏移: 32'hD4204, 写入数据: 32'h0
